title,video_category,tags,views,likes,dislikes
The truth about the Apple iPhone X - Review!,Science/Tech,"iPhone X Review|""iPhone 10 Review""|""iPhone 10""|""iphone x""|""iphone x unboxing""|""iphone x review""|""unboxing""|""review""|""iphone 2017""|""apple iphone x""|""iphone x hands on""|""iphone x vs""|""iphone x vs iphone 8""|""2017""|""apple""|""iphone x specs""|""new iphone""|""iphone 10""|""iphone""|""animoji""|""iphone 10 review""|""iphone x vs 8""|""face id""|""smartphone""|""iPhone X Camera""|""iphone x vs iphone 8 plus""|""iphone ten""",578964,22898,1192
Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X,Science/Tech,"Face ID Fail|""Son unlocks mom's iphone x""|""Ten-Year-Old's Face Unlocks Face ID""|""Ten-Year-Old""|""10 year old""|""10 year old iphone x""|""10-year-old iphone x""|""10 year old unlocked iphone x""|""iphone x""|""unlocks""|""mom""|""unlocked""|""iphone""|""staten island""|""boy""|""staten island boy""|""5th grader""|""10 year old unlocks iphone""|""kid""",1985134,11176,5614
Peephole Reverser? | 9 Pointless Tech Gadgets!,Science/Tech,"tech|""gadgets""|""new""|""2017""|""pointless tech gadgets""|""apple""|""smart product""|""cool gadgets""|""new gadget""|""weird things online""|""tech under""|""tech invention""|""technology""|""unbox""|""unboxing""|""on amazon""|""reacting to""|""family friendly""|""inventions""|""gadgets from""|""things on amazon""|""shopping gadget""|""latest tech""|""weird tech""|""gag gift""|""gift idea""|""kids""|""gift""|""mathias""|""matthias""|""matthiasiam""|""hi5 studios""|""#M757""",799694,19416,860
Selling My iPhone X To a Machine at Walmart,Science/Tech,"iphone x|""iphone 10""|""iphone""|""walmart""|""techsmartt""|""keaton keller""",3631775,43038,44500
How Pencils Are Made,Science/Tech,"pencils|""how it's made""|""science channel""|""design""|""factory""|""INSIDER""|""INSIDER design""|""business insider""|""tech insider""",210266,3759,107
2 Weeks with iPhone X,Science/Tech,"ijustine|""week with iPhone X""|""iphone x""|""apple""|""iphone""|""iphone x review""|""iphone x unboxing""",961935,21757,2651
Making Sandals with Zip-Ties and a Laser,Science/Tech,"laser cutter|""william osman""|""crappy science""|""sandals""|""flip flops""|""laser sandals""|""zip ties""|""diy""|""how to""|""make sandals""|""tap dancing""|""zip tie""|""laser""",169411,7443,101
Star Wars & littleBits Droid Inventor Kit: Movement,Science/Tech,"littleBits|""starwars""|""inventorswanted""|""droid""|""thelastjedi""|""r2d2""|""r2d2toy""|""toys""|""holiday""|""giftguide""|""tech""|""education""|""forceawakens""",1387,15,1
5 Ice Cream Gadgets put to the Test,Science/Tech,"5 Ice Cream Gadgets|""Ice Cream""|""Cream Sandwich Maker""|""gadgets""|""gadget review""|""review""|""unboxing""|""kitchen gadgets""|""Gadgets put to the Test""|""testing""|""10 Kitchen Gadgets""|""7 Camping Coffee Gadgets""|""10 Kitchen Gadgets put to the Test""",1224268,28632,1126
HomeMade Electric Airplane,Science/Tech,"ultralight|""airplane""|""homemade""|""DIY""|""hoverbike""|""part 103""|""ultra light""|""aircraft""|""aviation""|""do it yourself""|""basement""|""petersripol""|""peter sripol""|""biplane""|""flitetest""|""flite test""|""electric vehicle""|""electric""",413662,22359,133
