title,video_category,tags,views,likes,dislikes
"Pokémon GO - More Pokémon, More Adventure. Now with Dynamic Weather Gameplay!",Gaming,"Pokémon|""Pokémon GO""|""Niantic""|""Niantic Labs""|""Pikachu""|""The Pokémon Company""|""The Pokémon Company International""",2490503,17726,1882
Youtube Rewind 2017 - BEHIND THE SCENES,Gaming,"youtube|""you tube""|""youtube rewind""|""you tube rewind""|""rewind 2017""|""behind the scenes""|""BTW""|""rewind BTS""|""japan""|""muselk vlog""|""mrmuselk vlog""|""muselk overwatch""|""muselk tf2""|""youtube rewind 2017""|""rewind 2016""",543491,19818,704
The Legend of Zelda: Breath of the Wild Expansion Pass - The Champions’ Ballad Trailer,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""nintendo switch""|""pro controller""|""joy con""|""game of the year""|""breath of the wild""|""the legend of zelda""|""dlc""|""dlc 2""|""the champions ballad""|""motorcycle""|""lozbotw""|""expansion pass""|""revali""|""mipha""|""urbosa""|""daruk""|""shrine""|""equips""|""kass""|""champions' ballad""|""ancient""|""Divine Beast Tamer’s Trial""|""Tamer’s Trial""",83487,5059,100
"The Game Awards - Full Show with Death Stranding, Zelda and More",Gaming,"the game awards|""game awards 2017""|""videogame awards""|""video game awards""|""geoff keighley""|""game awards live""|""livestream""|""playstation""|""xbox""|""nintendo""|""best games of 2017""|""best videogames 2017""|""gameplay""|""trailers""|""world premiere""|""gaming awards""|""TGA""|""announcement""",1500852,28017,1658
PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer,Gaming,"PUBG|""Battle Royale""",534677,6569,289
In the Valley of Gods Announcement Trailer,Gaming,"campo santo|""firewatch""|""video games""|""egypt""|""videogames""|""gaming""|""adventure game""",347988,7699,2111
OUR SECRET FAN FICTIONS?! - Truth Bombs #2!,Gaming,"dan and phil|""dan and phil games""|""danisnotonfire""|""amazingphil""|""phil lester""|""dan howell""|""gaming channel""|""games""|""truth bombs""|""truth""|""bombs""|""board game""|""board""|""game""|""pj""|""kickthepj""|""sophie""|""our secret fan fictions""|""tiny""|""macro""|""uncle""|""dan""|""internet support group""|""secret""|""fan""|""fiction""|""wattpad""|""funny""|""best""|""2017""|""table""|""top""|""tabletop""|""card""|""party""|""christmas""|""gift""|""family""|""banter""|""roasting""|""youtuber""|""play""|""booster""|""pack""|""expansion""|""big""|""potato""|""shop""|""awkward""|""moments""|""forever""",722812,86588,272
Music of Splatoon 2 BTS - Nintendo Switch,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""single player""|""story""|""callie""|""great zapfish""|""octarian""|""roller""|""slosher""|""spatling""|""dualies""|""nintendo switch""|""splatoon""|""handheld""|""switch""|""mobility""|""console""|""Splatoon 2""|""squid""|""splat""|""splat dualies""|""splat roller""|""splat charger""|""cephalopod""|""shooter""|""3rd person""|""battlefield""|""salmonid""|""squid research lab""|""power eggs""|""grizzco""|""chum""|""steelhead""|""eggs""|""amiibo""|""marie""|""story mode""|""squid sisters""|""multiplayer""|""salmon run""|""music""|""bts""",109028,10357,109
Music of Splatoon 2 BTS - Nintendo Switch,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""single player""|""story""|""callie""|""great zapfish""|""octarian""|""roller""|""slosher""|""spatling""|""dualies""|""nintendo switch""|""splatoon""|""handheld""|""switch""|""mobility""|""console""|""Splatoon 2""|""squid""|""splat""|""splat dualies""|""splat roller""|""splat charger""|""cephalopod""|""shooter""|""3rd person""|""battlefield""|""salmonid""|""squid research lab""|""power eggs""|""grizzco""|""chum""|""steelhead""|""eggs""|""amiibo""|""marie""|""story mode""|""squid sisters""|""multiplayer""|""salmon run""|""music""|""bts""",185118,13542,166
Music of Splatoon 2 BTS - Nintendo Switch,Gaming,"nintendo|""play""|""play nintendo""|""game""|""gameplay""|""fun""|""video game""|""kids""|""action""|""adventure""|""rpg""|""single player""|""story""|""callie""|""great zapfish""|""octarian""|""roller""|""slosher""|""spatling""|""dualies""|""nintendo switch""|""splatoon""|""handheld""|""switch""|""mobility""|""console""|""Splatoon 2""|""squid""|""splat""|""splat dualies""|""splat roller""|""splat charger""|""cephalopod""|""shooter""|""3rd person""|""battlefield""|""salmonid""|""squid research lab""|""power eggs""|""grizzco""|""chum""|""steelhead""|""eggs""|""amiibo""|""marie""|""story mode""|""squid sisters""|""multiplayer""|""salmon run""|""music""|""bts""",203165,14216,177
