title,video_category,tags,views,likes,dislikes
♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,Howto/Style,"jillian vessey|""pixielocks""|""pink""|""silver play button""|""youtube play button""|""playbutton""|""unboxing""|""diy""",17901,2325,50
Is the Morphe 3502 Palette Worth the Hype? | Jackie Aina,Howto/Style,"morphe|""morphe 350""|""morphe 3502 review""|""morphe 3502 swatches""|""morphe 3502 review dark skin""|""morphe discount code""|""morphe code""",290124,23472,483
Japanese Food Tour with Frank Pinello and Sakura Yagi | Sean in the Wild,Howto/Style,"First we feast|""fwf""|""firstwefeast""|""food""|""food porn""|""cook""|""cooking""|""chef""|""kitchen""|""recipe""|""cocktail""|""bartender""|""craft beer""|""complex""|""complex media""|""Cook (Profession)sean evans""|""sean evans""|""sean in the wild""|""frank pinello""|""the pizza show""|""japanese food""|""sakura yagi""|""little tokyo""|""east village""|""soba noodles""|""omurice""",196434,6305,88
EARL GREY MACARONS- The Scran Line,Howto/Style,"cupcakes|""how to make vanilla cupcakes""|""over the top recipes""|""easy cupcake recipes""|""vanilla cupcakes""|""chocolate cupcakes""|""french macarons""|""how to make macarons""|""the scran line""|""the scranline""|""nick makrides""|""pastry design""|""how to pipe cupcakes""",31076,1814,36
"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",Howto/Style,"refinery29|""refinery 29""|""r29""|""r29 video""|""video""|""refinery29 video""|""female""|""empowerment""|""house tour""|""sweet digs""|""new york city""|""apartment decor""|""interior design""|""home tour""|""big apple""|""real estate""|""apartment""|""new apartment tour""|""bedroom tour""|""new apartment""|""house tour 2017""|""living room""|""living room decor""|""walk through""|""nyc apartment""|""new house""|""kitchen tour""|""modern home""|""decorating on a budget""|""my new house""|""moving out""|""video blog""|""manhattan""|""NY""|""central park""",237111,2323,786
A Smart... MUG?! - Take apart a Heated Thermos!,Howto/Style,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",248499,13613,359
Why a New York Ice Cream Shop is Releasing Ham Ice Cream — The Meat Show,Howto/Style,"ham|""ice cream""|""candied""|""candy""|""pineapple""|""candied fruit""|""ice cream flavor""|""flavor""|""pinapple""|""oddfellows""|""sam mason""|""maple bacon""|""bacon ice cream""|""ice cream shop""|""hawaiian pizza""|""hawaii""|""thanksgiving""|""creation""|""invention""|""new york""|""new""|""try it""|""dessert""|""steak""|""sushi""|""eater""|""eater.com""|""food""|""foodie""|""dining""|""dish""|""restaurant""|""restaurants""|""review""|""news""|""munchies""|""food porn""|""Cooking (Interest)""|""recipe""|""Eating""|""barbecue""|""the meat show""|""nick solares""",33513,607,42
iPhone X vs Makeup Transformation (Face ID TEST),Howto/Style,"iphone x|""iphonex makeup""|""iphonex test""|""new iphone""|""iphone vs makeup""|""face id""|""face id test""|""iphone x challenge""|""iphone hack""|""iphone x makeup tutorial""|""makup tutorial""|""2017 makeup""|""promise phan""|""twins face id""|""twins iphonex""|""iphonex face""|""iphonex review""",1826373,37692,2026
John Lewis Christmas Ad 2017 - #MozTheMonster,Howto/Style,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",7727696,59673,11124
A VERY #EXTRA EBAY SHOPPING HAUL!,Howto/Style,"ebay|""haul""|""cheap""|""challenge""|""extra""|""amber scholl""|""online""|""shopping""|""try on""|""2017""|""CLOTHES""|""shoes""",525210,24412,1259
EXTREME GOLDEN TAN TRANSFORMATION,Howto/Style,"Extreme Tan|""Tanning""|""Tanning Bed""|""How to get best Tan""|""Black to White""|""White To Tan""|""How to apply fake tan""|""Tanning Routine""|""Best fake tan""|""How to tan faster in the sun""|""How to make tan last""|""tanned skin""|""tan makeup""",390261,9474,3091
ICE PRIMER? DOES IT WORK?!,Howto/Style,"ice primer|""beauty hack""|""weird beauty hack""|""ice under foundation""|""pore minimizer""",122772,3912,298
How To Dry a Shirt in 30 Seconds,Howto/Style,"how to dry a shirt in 30 seconds|""how to dry a shirt""|""life hack""|""how to quickly dry clothing""|""how to dry a shirt fast""|""quickly dry clothes""|""quickly dry clothing""|""dry a shirt fast""|""howtobasic""",2291077,102726,12794
Bob Saget Hiccups Uncontrollably While Eating Spicy Wings | Hot Ones,Howto/Style,"bob saget|""hot ones""|""sean evans""|""spicy wings""|""First we feast""|""fwf""|""firstwefeast""|""food""|""food porn""|""cook""|""cooking""|""chef""|""kitchen""|""recipe""|""cocktail""|""bartender""|""craft beer""|""complex""|""complex media""|""Cook (Profession)sean evans""|""full house""|""comedian""|""interview""|""hot wing challenge""|""danny tanner""|""food challenge""|""10 questions""|""10 wings""|""hot sauce""|""pepper x""|""the last dab""|""hot ones hot sauce""|""hiccups""|""roast""|""standup""",501670,28309,422
Pumpkin Pie - You Suck at Cooking (episode 68),Howto/Style,"Forest|""Cooking""|""recipe""|""chef""|""how to""|""cooking tutorial""|""you suck at cooking""|""ysac""|""pumpkin""|""pumpkin pie""|""thanksgiving""|""comedy""|""funny""|""pie""|""spices""",677167,31301,747
How I Trained My Cats,Howto/Style,"how|""trained""|""cat""|""cats""|""train""|""how to""|""how i trained my cats""|""cook""|""Jun""|""Rachel""|""Japanese""|""food""|""training""|""paw""|""trick""|""cooking""|""ジュン""|""キッチン""|""料理""|""ねこ""|""ぬこ""|""お手""|""日本""|""英語""|""Juns kitchen""|""Jun's kitchen""|""yt:cc=on""",2167114,151277,862
Rosé Facial in New York City,Howto/Style,"spa|""rose""|""beauty""|""style""|""nyc""",6582,174,8
Is the Morphe 3502 Palette Worth the Hype? | Jackie Aina,Howto/Style,"morphe|""morphe 350""|""morphe 3502 review""|""morphe 3502 swatches""|""morphe 3502 review dark skin""|""morphe discount code""|""morphe code""",322642,25373,537
♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,Howto/Style,"jillian vessey|""pixielocks""|""pink""|""silver play button""|""youtube play button""|""playbutton""|""unboxing""|""diy""",24416,2738,83
How Maybelline Mascara Is Made | How Stuff Is Made | Refinery29,Howto/Style,"refinery29|""refinery 29""|""r29""|""r29 video""|""refinery29 video""|""female""|""empowerment""|""makeup artist""|""mascara""|""lashes""|""long lashes""|""eyelashes""|""favorites""|""maybelline""|""waterproof mascara""|""eyelash hacks""|""eyelash""|""beauty review""|""drugstore makeup""|""industry""|""affordable makeup""|""everyday makeup""|""full face""|""fall makeup""|""morning routine""|""makeup haul""|""the power of makeup""|""makeup routine""|""new drugstore makeup""|""makeup tips""|""production line""|""how stuff is made""|""maybelline mascara""|""drugstore mascara""",22383,921,26
EARL GREY MACARONS- The Scran Line,Howto/Style,"cupcakes|""how to make vanilla cupcakes""|""over the top recipes""|""easy cupcake recipes""|""vanilla cupcakes""|""chocolate cupcakes""|""french macarons""|""how to make macarons""|""the scran line""|""the scranline""|""nick makrides""|""pastry design""|""how to pipe cupcakes""",33738,1933,36
Designing for Small Batch Low Volume Manufacturing: Vacuum forming,Howto/Style,"industrial|""design""|""time lapse""|""product""|""development""|""tutorial video""|""how to""|""products""|""rendering""|""sketching""|""product design""|""product development""|""prototype""|""Trump""|""vacuum forming""|""laser cutting""|""solvent welding""|""solvent bonding""|""industrial design""|""low volume production""|""computer aided design""|""REN shape""",3591,92,4
A Smart... MUG?! - Take apart a Heated Thermos!,Howto/Style,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",256761,13909,374
Why a New York Ice Cream Shop is Releasing Ham Ice Cream — The Meat Show,Howto/Style,"ham|""ice cream""|""candied""|""candy""|""pineapple""|""candied fruit""|""ice cream flavor""|""flavor""|""pinapple""|""oddfellows""|""sam mason""|""maple bacon""|""bacon ice cream""|""ice cream shop""|""hawaiian pizza""|""hawaii""|""thanksgiving""|""creation""|""invention""|""new york""|""new""|""try it""|""dessert""|""steak""|""sushi""|""eater""|""eater.com""|""food""|""foodie""|""dining""|""dish""|""restaurant""|""restaurants""|""review""|""news""|""munchies""|""food porn""|""Cooking (Interest)""|""recipe""|""Eating""|""barbecue""|""the meat show""|""nick solares""",34460,620,43
iPhone X vs Makeup Transformation (Face ID TEST),Howto/Style,"iphone x|""iphonex makeup""|""iphonex test""|""new iphone""|""iphone vs makeup""|""face id""|""face id test""|""iphone x challenge""|""iphone hack""|""iphone x makeup tutorial""|""makup tutorial""|""2017 makeup""|""promise phan""|""twins face id""|""twins iphonex""|""iphonex face""|""iphonex review""",1856410,38114,2049
John Lewis Christmas Ad 2017 - #MozTheMonster,Howto/Style,"christmas|""john lewis christmas""|""john lewis""|""christmas ad""|""mozthemonster""|""christmas 2017""|""christmas ad 2017""|""john lewis christmas advert""|""moz""",8041928,60434,11437
Bob Saget Hiccups Uncontrollably While Eating Spicy Wings | Hot Ones,Howto/Style,"bob saget|""hot ones""|""sean evans""|""spicy wings""|""First we feast""|""fwf""|""firstwefeast""|""food""|""food porn""|""cook""|""cooking""|""chef""|""kitchen""|""recipe""|""cocktail""|""bartender""|""craft beer""|""complex""|""complex media""|""Cook (Profession)sean evans""|""full house""|""comedian""|""interview""|""hot wing challenge""|""danny tanner""|""food challenge""|""10 questions""|""10 wings""|""hot sauce""|""pepper x""|""the last dab""|""hot ones hot sauce""|""hiccups""|""roast""|""standup""",803802,36813,619
Making loaded dice,Howto/Style,"dice|""cheating""|""loaded dice""|""woodworking""",123751,3583,283
Doing A Gift Exchange MY WAY! | Lauren Elizabeth,Howto/Style,"lovelaurenelizabeth|""livelaurenelizabeth""|""lolufullyloaded""|""lauren""|""elizabeth""|""violet benson""|""chloe parr""|""lauren elizabeth""|""daddyissues""|""awesomenesstv""|""macy's""|""holiday""|""gift exchange""|""white elephant""|""christmas""|""haul""|""gift guide""|""how to""|""friends""|""party""|""intense""|""Macy’s""|""unboxed""|""holidays""|""unboxing""|""unbox""|""gift""|""gifting""|""presents""|""best gift""|""shopping guide""|""xmas""|""hanukkah""|""shopping""|""jewelry""",50702,2718,145
Huge Fall Try-On Haul | Eggie Drop II,Howto/Style,"huge haul|""fall haul""|""try on haul""|""fall fashion""|""casual fashion""|""jenn im""|""imjennim""|""jenn im haul""|""korean fashion""|""clothesencounters""|""clothes encounters""",89852,5269,164
Pumpkin Pie - You Suck at Cooking (episode 68),Howto/Style,"Forest|""Cooking""|""recipe""|""chef""|""how to""|""cooking tutorial""|""you suck at cooking""|""ysac""|""pumpkin""|""pumpkin pie""|""thanksgiving""|""comedy""|""funny""|""pie""|""spices""",759465,33415,816
5 Days Of Wearing DIY Makeup | Try Living With Lucie | Refinery29,Howto/Style,"refinery29|""refinery 29""|""r29""|""r29 video""|""video""|""refinery29 video""|""female""|""empowerment""|""lucie fink""|""lucie r29""|""5 day challenge""|""try living with lucie""|""viral challenge""|""DIY life hacks""|""DIY makeup""|""DIY Beauty""|""tested""|""tests""|""makeup routine""|""power of makeup""|""the power of makeup""|""trends""|""trending""|""before and after""|""makeup look""|""lip balm""|""life hacks""|""get ready morning routine""|""beauty hack""|""projects""|""makeup collection""|""crafts""|""makeup ideas""|""everyday makeup""|""how to makeup""|""DIY""",53502,1747,87
How to Make Mini Nutella Pies! | Cupcake Jemma,Howto/Style,"cupcakes|""cupcake""|""cake""|""cakes""|""bake""|""baking""|""bakery""|""cookie""|""cookies""|""biscuits""|""recipe""|""how to make""|""pie""|""pastry""|""shortcrust pastry""|""filling""|""nutella""|""nutela""|""hazelnut""|""hazelnut paste""|""chocolate""|""choc chips""|""chips""|""dough""|""rolled""|""blind baking""|""all in one pie""|""tart""|""tart case""|""puff pastry""|""cupcake jemma""|""gemma""|""jemma wilson""|""gemma wilson""|""crumbs and doilies""|""london""|""bake shop""|""home baking""|""easy""|""quick""",64813,3479,29
How I Trained My Cats,Howto/Style,"how|""trained""|""cat""|""cats""|""train""|""how to""|""how i trained my cats""|""cook""|""Jun""|""Rachel""|""Japanese""|""food""|""training""|""paw""|""trick""|""cooking""|""ジュン""|""キッチン""|""料理""|""ねこ""|""ぬこ""|""お手""|""日本""|""英語""|""Juns kitchen""|""Jun's kitchen""|""yt:cc=on""",2286953,156920,915
Is the Morphe 3502 Palette Worth the Hype? | Jackie Aina,Howto/Style,"morphe|""morphe 350""|""morphe 3502 review""|""morphe 3502 swatches""|""morphe 3502 review dark skin""|""morphe discount code""|""morphe code""",340649,26383,557
♡ SILVER PLAYBUTTON UNBOXING (and making it cute) ♡,Howto/Style,"jillian vessey|""pixielocks""|""pink""|""silver play button""|""youtube play button""|""playbutton""|""unboxing""|""diy""",25796,2842,84
EARL GREY MACARONS- The Scran Line,Howto/Style,"cupcakes|""how to make vanilla cupcakes""|""over the top recipes""|""easy cupcake recipes""|""vanilla cupcakes""|""chocolate cupcakes""|""french macarons""|""how to make macarons""|""the scran line""|""the scranline""|""nick makrides""|""pastry design""|""how to pipe cupcakes""",35487,1999,36
A Smart... MUG?! - Take apart a Heated Thermos!,Howto/Style,"Smart mug|""Heated thermos""|""tech""|""gift idea""|""unboxed""|""Ember mug""|""ember""|""Ember review""|""Heated mug""|""teardown""|""technology""|""Thermous""|""winter""|""holiday""|""christmas""|""gift""|""mug""|""unboxing""",265799,14179,384
Designing for Small Batch Low Volume Manufacturing: Vacuum forming,Howto/Style,"industrial|""design""|""time lapse""|""product""|""development""|""tutorial video""|""how to""|""products""|""rendering""|""sketching""|""product design""|""product development""|""prototype""|""Trump""|""vacuum forming""|""laser cutting""|""solvent welding""|""solvent bonding""|""industrial design""|""low volume production""|""computer aided design""|""REN shape""",3841,97,4
